yyyy-mm-dd,HH:MM,team1,team2,score1,score2
31-03-2019,12:30,Parma,Atalanta,1,3
31-03-2019,15:00,Roma,Napoli,1,4
31-03-2019,15:00,Frosinone,Spal,0,1
31-03-2019,15:00,Fiorentina,Torino,1,1
31-03-2019,18:00,Bologna,Sassuolo,2,1
31-03-2019,20:30,Inter,Lazio,0,1
02-04-2019,19:00,Milan,Udinese,1,1
02-04-2019,21:00,Cagliari,Juventus,0,2
03-04-2019,19:00,Empoli,Napoli,2,1
03-04-2019,21:00,Torino,Sampdoria,2,1
03-04-2019,21:00,Spal,Lazio,1,0
03-04-2019,21:00,Roma,Fiorentina,2,2
03-04-2019,21:00,Genoa,Inter,0,4
03-04-2019,21:00,Frosinone,Parma,3,2
04-04-2019,19:00,Sassuolo,Chievo,4,0
04-04-2019,21:00,Atalanta,Bologna,4,1
06-04-2019,15:00,Parma,Torino,0,0
06-04-2019,18:00,Juventus,Milan,2,1
06-04-2019,20:30,Sampdoria,Roma,0,1
07-04-2019,12:30,Fiorentina,Frosinone,0,1
07-04-2019,15:00,Udinese,Empoli,3,2
07-04-2019,15:00,Cagliari,Spal,2,1
07-04-2019,18:00,Lazio,Sassuolo,2,2
07-04-2019,18:00,Inter,Atalanta,0,0
07-04-2019,20:30,Napoli,Genoa,1,1
08-04-2019,20:30,Bologna,Chievo,3,0
13-04-2019,15:00,Spal,Juventus,2,1
13-04-2019,18:00,Roma,Udinese,1,0
13-04-2019,20:30,Milan,Lazio,1,0
14-04-2019,12:30,Torino,Cagliari,1,1
14-04-2019,15:00,Sassuolo,Parma,0,0
14-04-2019,15:00,Sampdoria,Genoa,2,0
14-04-2019,15:00,Fiorentina,Bologna,0,0
14-04-2019,18:00,Chievo,Napoli,1,3
14-04-2019,20:30,Frosinone,Inter,1,3
15-04-2019,20:30,Atalanta,Empoli,0,0
17-04-2019,19:00,Lazio,Udinese,2,0
20-04-2019,12:30,Parma,Milan,1,1
20-04-2019,15:00,Udinese,Sassuolo,1,1
20-04-2019,15:00,Lazio,Chievo,1,2
20-04-2019,15:00,Genoa,Torino,0,1
20-04-2019,15:00,Empoli,Spal,2,4
20-04-2019,15:00,Cagliari,Frosinone,1,0
20-04-2019,15:00,Bologna,Sampdoria,3,0
20-04-2019,18:00,Juventus,Fiorentina,2,1
20-04-2019,20:30,Inter,Roma,1,1
22-04-2019,19:00,Napoli,Atalanta,1,2
27-04-2019,15:00,Bologna,Empoli,3,1
27-04-2019,18:00,Roma,Cagliari,3,0
27-04-2019,20:30,Inter,Juventus,1,1
28-04-2019,12:30,Frosinone,Napoli,0,2
28-04-2019,15:00,Spal,Genoa,1,1
28-04-2019,15:00,Chievo,Parma,1,1
28-04-2019,18:00,Sampdoria,Lazio,1,2
28-04-2019,20:30,Torino,Milan,2,0
29-04-2019,19:00,Atalanta,Udinese,2,0
29-04-2019,21:00,Fiorentina,Sassuolo,0,1
03-05-2019,20:30,Juventus,Torino,1,1
04-05-2019,18:00,Chievo,Spal,0,4
04-05-2019,20:30,Udinese,Inter,0,0
05-05-2019,12:30,Empoli,Fiorentina,1,0
05-05-2019,15:00,Sassuolo,Frosinone,2,2
05-05-2019,15:00,Parma,Sampdoria,3,3
05-05-2019,15:00,Lazio,Atalanta,1,3
05-05-2019,18:00,Genoa,Roma,1,1
05-05-2019,20:30,Napoli,Cagliari,2,1
06-05-2019,20:30,Milan,Bologna,2,1
11-05-2019,15:00,Atalanta,Genoa,2,1
11-05-2019,18:00,Cagliari,Lazio,1,2
11-05-2019,20:30,Fiorentina,Milan,0,1
12-05-2019,12:30,Torino,Sassuolo,3,2
12-05-2019,15:00,Sampdoria,Empoli,1,2
12-05-2019,15:00,Frosinone,Udinese,1,3
12-05-2019,18:00,Spal,Napoli,1,2
12-05-2019,20:30,Roma,Juventus,2,0
13-05-2019,19:00,Bologna,Parma,4,1
13-05-2019,21:00,Inter,Chievo,2,0
18-05-2019,15:00,Udinese,Spal,3,2
18-05-2019,18:00,Genoa,Cagliari,1,1
18-05-2019,20:30,Sassuolo,Roma,0,0
19-05-2019,12:30,Chievo,Sampdoria,0,0
19-05-2019,15:00,Parma,Fiorentina,1,0
19-05-2019,15:00,Empoli,Torino,4,1
19-05-2019,18:00,Milan,Frosinone,2,0
19-05-2019,20:30,Napoli,Inter,4,1
19-05-2019,20:30,Juventus,Atalanta,1,1
20-05-2019,20:30,Lazio,Bologna,3,3
25-05-2019,18:00,Frosinone,Chievo,0,0
25-05-2019,20:30,Bologna,Napoli,3,2
26-05-2019,15:00,Torino,Lazio,3,1
26-05-2019,18:00,Sampdoria,Juventus,2,0
26-05-2019,20:30,Spal,Milan,2,3
26-05-2019,20:30,Roma,Parma,2,1
26-05-2019,20:30,Inter,Empoli,2,1
26-05-2019,20:30,Fiorentina,Genoa,0,0
26-05-2019,20:30,Cagliari,Udinese,1,2
26-05-2019,20:30,Atalanta,Sassuolo,3,1
